Date,Open,High,Low,Close,20sma
2019-12-20,7151.31000000,7518.54000000,7079.50000000,7501.44000000,8040.8405
2019-12-23,7500.71000000,7695.38000000,7128.86000000,7204.63000000,7939.572
2019-12-26,7205.01000000,7435.00000000,7076.42000000,7316.14000000,7834.998000000001
2019-12-29,7315.36000000,7528.45000000,7145.01000000,7195.23000000,7733.178999999999
2020-01-01,7195.24000000,7405.00000000,6871.04000000,7344.96000000,7630.7595
2020-01-04,7345.00000000,7795.34000000,7272.21000000,7758.00000000,7557.849500000001
2020-01-07,7758.90000000,8455.00000000,7723.71000000,7817.76000000,7496.764
2020-01-10,7817.74000000,8286.34000000,7672.00000000,8184.98000000,7467.156999999999
2020-01-13,8184.97000000,8916.48000000,8055.89000000,8821.41000000,7483.6765
2020-01-16,8820.01000000,9041.65000000,8586.00000000,8915.96000000,7522.7925000000005
2020-01-19,8915.09000000,9198.98000000,8466.00000000,8736.03000000,7596.1825
2020-01-22,8736.04000000,8818.00000000,8238.00000000,8439.00000000,7662.6539999999995
2020-01-25,8438.99000000,9000.00000000,8254.90000000,8907.57000000,7737.058
2020-01-28,8907.57000000,9578.00000000,8862.40000000,9513.21000000,7843.173999999999
2020-01-31,9511.52000000,9530.22000000,9120.00000000,9331.51000000,7950.0335000000005
2020-02-03,9331.59000000,9744.45000000,9093.01000000,9612.04000000,8056.225
2020-02-06,9612.03000000,9940.00000000,9526.35000000,9895.05000000,8189.770999999999
2020-02-09,9895.04000000,10323.59000000,9700.00000000,10223.08000000,8338.001
2020-02-12,10223.08000000,10500.00000000,10080.00000000,10344.36000000,8510.633
2020-02-15,10344.36000000,10375.00000000,9452.67000000,9706.00000000,8638.418
2020-02-18,9706.00000000,10250.00000000,9350.00000000,9596.42000000,8743.167000000001
2020-02-21,9597.21000000,9990.00000000,9550.21000000,9936.40000000,8879.755500000001
2020-02-24,9936.40000000,9990.00000000,8633.63000000,8785.25000000,8953.211
2020-02-27,8786.00000000,8971.77000000,8445.00000000,8523.61000000,9019.630000000001
2020-03-01,8523.61000000,8965.75000000,8411.00000000,8760.07000000,9090.3855
2020-03-04,8760.07000000,9170.00000000,8660.00000000,9131.88000000,9159.0795
2020-03-07,9130.89000000,9188.00000000,7632.01000000,7929.87000000,9164.685000000001
2020-03-10,7929.87000000,8149.00000000,4410.00000000,4800.00000000,8995.436
2020-03-13,4800.01000000,5955.00000000,3782.13000000,5361.30000000,8822.430499999999
2020-03-16,5360.33000000,5525.00000000,4442.12000000,5393.04000000,8646.2845
2020-03-19,5393.26000000,6900.00000000,5252.53000000,6186.98000000,8518.832
2020-03-22,6187.04000000,6833.00000000,5688.00000000,6744.72000000,8434.118
2020-03-25,6744.69000000,6957.96000000,6261.00000000,6359.11000000,8306.695
2020-03-28,6359.11000000,6599.00000000,5857.76000000,6394.38000000,8150.753500000001
2020-03-31,6394.45000000,7198.00000000,6150.11000000,6794.09000000,8023.8825
2020-04-03,6793.86000000,7048.00000000,6602.10000000,6772.78000000,7881.919499999999
2020-04-06,6772.78000000,7459.69000000,6765.00000000,7361.28000000,7755.231
2020-04-09,7360.26000000,7371.92000000,6739.98000000,6876.83000000,7587.918500000002
2020-04-12,6876.84000000,7177.00000000,6575.00000000,6868.70000000,7414.135499999999
2020-04-15,6868.57000000,7190.00000000,6468.27000000,7027.55000000,7280.213000000001
2020-04-18,7026.78000000,7293.08000000,6751.00000000,6826.83000000,7141.7335
2020-04-21,6828.98000000,7738.00000000,6762.00000000,7482.39000000,7019.033
2020-04-24,7483.96000000,7705.00000000,7388.00000000,7693.10000000,6964.425499999999
2020-04-27,7693.10000000,8952.89000000,7606.00000000,8778.57000000,6977.1735
2020-04-30,8778.58000000,9460.00000000,8401.00000000,8972.05000000,6987.772500000001
2020-05-03,8972.58000000,9200.00000000,8522.00000000,9021.83000000,6982.2699999999995
2020-05-06,9021.36000000,10067.00000000,8906.21000000,9800.01000000,7075.777
2020-05-09,9800.02000000,9914.25000000,8117.00000000,8561.52000000,7263.853
2020-05-12,8562.04000000,9939.00000000,8528.78000000,9791.98000000,7485.387000000001
2020-05-15,9791.97000000,9888.00000000,9150.00000000,9680.04000000,7699.736999999999
2020-05-18,9681.11000000,9950.00000000,9326.00000000,9511.43000000,7865.9595
2020-05-21,9511.43000000,9578.47000000,8815.00000000,9179.15000000,7987.681
2020-05-24,9179.01000000,9298.00000000,8642.72000000,8841.18000000,8111.7845
2020-05-27,8841.00000000,9625.47000000,8811.73000000,9427.07000000,8263.419
2020-05-30,9426.60000000,10380.00000000,9331.23000000,10200.77000000,8433.753
2020-06-02,10202.71000000,10228.99000000,9266.00000000,9789.06000000,8584.567
2020-06-05,9788.14000000,9854.75000000,9372.46000000,9746.99000000,8703.8525
2020-06-08,9746.99000000,9992.72000000,9570.00000000,9885.00000000,8854.261
2020-06-11,9885.22000000,9964.00000000,9113.00000000,9473.34000000,8984.493
2020-06-14,9473.34000000,9589.00000000,8910.45000000,9525.59000000,9109.395
2020-06-17,9526.97000000,9565.00000000,9215.79000000,9310.23000000,9233.564999999999
2020-06-20,9310.23000000,9780.00000000,9170.95000000,9685.69000000,9343.73
2020-06-23,9685.69000000,9720.00000000,9009.69000000,9249.49000000,9421.549500000001
2020-06-26,9249.49000000,9298.00000000,8833.00000000,9116.35000000,9438.4385
2020-06-29,9116.16000000,9292.00000000,9024.67000000,9232.00000000,9451.436000000002
2020-07-02,9231.99000000,9261.96000000,8940.00000000,9135.46000000,9457.1175
2020-07-05,9135.00000000,9379.42000000,8893.03000000,9257.39000000,9429.986499999999
2020-07-08,9257.40000000,9470.00000000,9125.00000000,9288.34000000,9466.3275
2020-07-11,9288.34000000,9345.00000000,9157.50000000,9242.62000000,9438.8595
2020-07-14,9242.61000000,9279.54000000,9047.25000000,9133.72000000,9411.5435
2020-07-17,9133.72000000,9232.27000000,9089.81000000,9208.99000000,9396.4215
2020-07-20,9208.99000000,9544.00000000,9131.00000000,9518.16000000,9413.372
2020-07-23,9518.16000000,9732.90000000,9440.33000000,9700.42000000,9456.333999999999
2020-07-26,9700.42000000,11394.86000000,9650.00000000,10906.27000000,9530.294
2020-07-29,10906.27000000,11444.00000000,10812.00000000,11335.46000000,9587.0285
2020-08-01,11335.46000000,12123.46000000,10518.50000000,11219.81000000,9658.566
2020-08-04,11219.68000000,11900.00000000,11000.00000000,11762.46000000,9759.339499999998
2020-08-07,11762.47000000,11909.94000000,11322.00000000,11681.68000000,9849.173499999999
2020-08-10,11681.69000000,12067.35000000,11125.00000000,11564.33000000,9953.723
2020-08-13,11564.34000000,11980.00000000,11270.36000000,11852.40000000,10070.0635
