Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20190218 00:00:00,3667.62000000,4198.00000000,3655.00000000,3743.56000000,3620.03000000,3683.54600000,4493.66650000,29.08501007,-839.52835943,-894.41939822
20190225 00:00:00,3743.56000000,3888.00000000,3677.17000000,3807.75000000,3671.41200000,3671.35000000,4367.08700000,45.47808409,-787.38048095,-873.01161477
20190304 00:00:00,3807.32000000,3971.75000000,3670.69000000,3916.82000000,3763.15400000,3682.84100000,4233.42250000,46.07170320,-728.85014333,-844.17932048
20190311 00:00:00,3915.99000000,4056.98000000,3810.43000000,3981.14000000,3823.37000000,3682.19500000,4107.98300000,58.52188503,-669.55611649,-809.25467968
20190318 00:00:00,3981.85000000,4069.32000000,3880.01000000,3992.18000000,3888.29000000,3733.73200000,3983.29950000,66.95852268,-614.58972947,-770.32168964
20190325 00:00:00,3991.35000000,4140.00000000,3888.71000000,4103.95000000,3960.36800000,3790.19900000,3866.00650000,55.24238194,-555.60489941,-727.37833159
20190401 00:00:00,4102.44000000,5275.01000000,4067.00000000,5170.27000000,4232.87200000,3952.14200000,3841.42000000,76.31097233,-417.99746960,-665.50215920
20190408 00:00:00,5170.27000000,5422.00000000,4861.22000000,5131.30000000,4475.76800000,4119.46100000,3893.69600000,73.30618999,-308.53059474,-594.10784630
20190415 00:00:00,5131.28000000,5333.42000000,4950.00000000,5256.14000000,4730.76800000,4277.06900000,3948.45250000,93.02700115,-209.29118458,-517.14451396
20190422 00:00:00,5257.41000000,5600.00000000,5102.00000000,5307.52000000,4993.83600000,4441.06300000,4036.56000000,92.98939998,-125.05573577,-438.72675832
20190429 00:00:00,5309.81000000,5900.00000000,5178.80000000,5775.62000000,5328.17000000,4644.26900000,4163.90750000,94.26295391,-20.29285439,-355.03997753
20190506 00:00:00,5773.18000000,7521.78000000,5619.14000000,6967.31000000,5687.57800000,4960.22500000,4315.78750000,98.57562083,157.08117353,-252.61574732
20190513 00:00:00,6968.24000000,8366.00000000,6870.00000000,8148.48000000,6291.01400000,5383.39100000,4533.11600000,98.87450452,388.48371764,-124.39585433
20190520 00:00:00,8147.94000000,8740.00000000,7461.00000000,8614.43000000,6962.67200000,5846.72000000,4764.45750000,99.22444520,602.52464288,20.98824511
20190527 00:00:00,8612.54000000,9074.26000000,8005.00000000,8725.98000000,7646.36400000,6320.10000000,5026.91600000,99.22989669,772.25272228,171.24114054
20190603 00:00:00,8726.00000000,8800.95000000,7444.58000000,7628.13000000,8016.86600000,6672.51800000,5231.35850000,81.34531885,808.85218366,298.76334917
20190610 00:00:00,7627.57000000,9333.00000000,7511.00000000,8953.33000000,8414.07000000,7050.82400000,5501.48300000,84.44874592,934.02324676,425.81532869
20190617 00:00:00,8953.00000000,11392.64000000,8950.00000000,10906.07000000,8965.58800000,7628.30100000,5873.88100000,87.64133990,1177.22173497,576.09660994
20190624 00:00:00,10905.95000000,13970.00000000,10525.10000000,10854.10000000,9413.52200000,8188.09700000,6232.58300000,87.13361113,1350.20047378,730.91738271
20190701 00:00:00,10854.10000000,12000.00000000,9727.00000000,11406.24000000,9949.57400000,8797.96900000,6619.51600000,87.71894664,1514.38358282,887.61062273
20190708 00:00:00,11410.00000000,13147.08000000,10103.00000000,10174.18000000,10458.78400000,9237.82500000,6941.04700000,75.41188408,1527.47515165,1015.58352852
20190715 00:00:00,10174.18000000,11100.00000000,9060.00000000,10589.45000000,10786.00800000,9600.03900000,7280.13200000,76.69828828,1553.45190612,1123.15720404
20190722 00:00:00,10590.15000000,10683.16000000,9165.00000000,9541.54000000,10513.10200000,9739.34500000,7561.36800000,69.22569623,1472.50694844,1193.02715292
20190729 00:00:00,9541.54000000,11040.00000000,9395.00000000,10929.23000000,10528.12800000,9970.82500000,7908.77250000,72.52054876,1503.00674572,1255.02307148
20190805 00:00:00,10929.99000000,12330.70000000,10927.80000000,11549.97000000,10556.87400000,10253.22400000,8286.66200000,72.85254865,1559.29203708,1315.87686460
20190812 00:00:00,11539.08000000,11577.89000000,9750.00000000,10306.78000000,10583.39400000,10521.08900000,8596.80350000,63.16262042,1486.44863816,1349.99121931
20190819 00:00:00,10306.17000000,10949.96000000,9762.00000000,10142.69000000,10494.04200000,10640.02500000,8845.42450000,58.54538131,1399.34821292,1359.86261803
20190826 00:00:00,10142.69000000,10604.00000000,9320.00000000,9724.98000000,10530.73000000,10521.91600000,9075.10850000,54.77856922,1281.83855540,1344.25780551
20190902 00:00:00,9723.59000000,10905.87000000,9712.50000000,10381.18000000,10421.12000000,10474.62400000,9331.36050000,56.80325794,1227.51117636,1320.90847968
20190909 00:00:00,10381.24000000,10480.00000000,9880.00000000,10302.01000000,10171.52800000,10364.20100000,9581.08500000,61.99471025,1164.64270360,1289.65532446
20190916 00:00:00,10303.34000000,10355.00000000,9653.00000000,10028.87000000,10115.94600000,10349.67000000,9793.74750000,55.32760981,1080.32555026,1247.78936962
20190923 00:00:00,10028.05000000,10049.99000000,7750.00000000,8043.82000000,9696.17200000,10095.10700000,9847.57300000,35.86728854,843.60213324,1166.95192235
20190930 00:00:00,8043.04000000,8500.00000000,7710.00000000,7854.25000000,9322.02600000,9926.37800000,9832.86150000,35.38644554,633.39897595,1060.24133307
20191007 00:00:00,7855.30000000,8779.51000000,7762.00000000,8275.01000000,8900.79200000,9660.95600000,9815.89050000,34.54865754,495.05657093,947.20438064
20191014 00:00:00,8275.24000000,8403.00000000,7816.01000000,8223.35000000,8485.06000000,9328.29400000,9790.75900000,39.10412582,376.90595081,833.14469467
20191021 00:00:00,8223.35000000,10370.00000000,7300.00000000,9529.93000000,8385.27200000,9250.60900000,9885.84900000,44.61815256,384.27118062,743.36999186
20191028 00:00:00,9528.23000000,9902.10000000,8913.00000000,9194.71000000,8615.45000000,9155.81100000,9897.91800000,48.10076259,358.92130448,666.48025439
20191104 00:00:00,9196.46000000,9513.68000000,8696.00000000,9039.47000000,8852.49400000,9087.26000000,9804.58800000,38.03694963,322.58620147,597.70144380
